BASKETID,BASKETTYPE,latitude,longitude,STREETNAME1,STREETNAME2,SECTION
30640103,R,40.6708853393,-73.9779917722,7 AV,2 ST,BKS064
31010055,S,40.6361274345,-74.022650364,4 AV,SENATOR ST,BKS101
31120004,S,40.6121083038,-73.9834706283,BAY PKWY,68 ST,BKS112
31410072,S,40.6491186009,-73.9641830751,CHURCH AV,E 17 ST,BKS141
30310090,H,40.6961937386,-73.940436578,MYRTLE AV,MARCUS GARVEY BLVD,BKN031
31120001,S,40.6083698363,-73.987344528,BAY PKWY,BAY RIDGE PKWY,BKS112
31320200,S,40.5758327317,-73.9902137432,MERMAID AV,W 23 ST,BKS132
30920040,R,40.6629480938,-73.9506624628,NOSTRAND AV,STERLING ST,BKN092
30810148,H,40.6742925515,-73.9568104297,FRANKLIN AV,PARK PL,BKN081
30430095,S,40.6919168734,-73.9065632798,KNICKERBOCKER AV,COVERT ST,BKN043
30210315,D,40.6960971305,-73.9973409186,PIERREPONT ST,PIERREPONT PL,BKN021
30210305,H,40.7014101166,-73.9875883482,YORK ST,PEARL ST,BKN021
31150068,D,40.5976907591,-73.9995816661,Street Name TBD,,BKS115
30540006,S,40.6618882115,-73.8933834747,PENNSYLVANIA AV,NEW LOTS AV,BKN054
30810055,S,40.6775980085,-73.9588446925,CLASSON AV,BERGEN ST,BKN081
31010017,H,40.6341936821,-74.0204868149,5 AV,68 ST,BKS101
30910136,D,40.6692409454,-73.9418795941,KINGSTON AV,EASTERN PKWY,BKN091
30540102,S,40.6634900963,-73.8890818712,NEW LOTS AV,MILLER AV,BKN054
31750064,S,40.6417878251,-73.9291429841,UTICA AV,AV D,BKN175
30210057,S,40.7037474529,-73.9904403843,MAIN ST,PLYMOUTH ST,BKN021
31140021,S,40.6070447656,-74.0026790549,86 ST,18 AV,BKS114
30830025,S,40.6748623093,-73.9303534813,UTICA AV,BERGEN ST,BKN083
30630047,S,40.6795179734,-73.9785366944,5 AV,BALTIC ST,BKS063
30230050,S,40.68680204,-73.9772138017,LAFAYETTE AV,ST FELIX ST,BKN023
30540050,S,40.6557968354,-73.8881290845,WORTMAN AV,PENNSYLVANIA AV,BKN054
31120036,S,40.6145128704,-73.9950355514,18 AV,73 ST,BKS112
31730016,H,40.6554437475,-73.9305497522,UTICA AV,LENOX RD,BKN173
31870045,H,40.6097738032,-73.9315706357,AV S,E 36 ST,BKS187
30230084,R,40.6865124334,-73.9745963866,FULTON ST,S PORTLAND AV,BKN023
30150077,C,40.7013920409,-73.9433049451,BROADWAY,THORNTON ST,BKN015
31620085,R,40.6837361204,-73.9144731785,THOMAS S BOYLAND ST,DECATUR ST,BKN162
30540112,D,40.6655464402,-73.8858529963,Street Name TBD,,BKN054
31410046,S,40.654959238,-73.9599435353,FLATBUSH AV,WOODRUFF AV,BKS141
31520086,S,40.6085473346,-73.9570926344,QUENTIN RD,E 16 ST,BKS152
30540068,R,40.6646268423,-73.8937570485,PENNSYLVANIA AV,LIVONIA AV,BKN054
30740072,S,40.6391256747,-74.0199321405,4 AV,63 ST,BKS074
31320248,R,40.5768546596,-73.9658344737,BRIGHTON BEACH AV,BRIGHTON 1 PL,BKS132
30130008,R,40.7249307824,-73.9479641325,NASSAU AV,MC GUINNESS BLVD,BKN013
30130070,D,40.7254667121,-73.9442223264,NASSAU AV,RUSSELL ST,BKN013
30620009,R,40.6818853441,-73.9963196848,COURT ST,PRESIDENT ST,BKS062
31510059,H,40.6044355007,-73.971174444,KINGS HWY,E 2 ST,BKS151
30910018,S,40.6677983637,-73.9592360877,FRANKLIN AV,CARROLL ST,BKN091
30110002,S,40.7324703578,-73.9544357417,MANHATTAN AVE,INDIA ST,BKN011
30420120,R,40.6899479961,-73.9225892857,BROADWAY,LINDEN ST,BKN042
30120059,R,40.7133068357,-73.9618499424,BEDFORD AV,S 2 ST,BKN012
30730057,S,40.6399854957,-74.0046149891,8 AV,52 ST,BKS073
30720071,S,40.6651963471,-73.9898870365,5 AV,16 ST,BKS072
31110035,S,40.6202580811,-73.9887365631,18 AV,63 ST,BKS111
30420037,R,40.6972510165,-73.9154011409,KNICKERBOCKER AV,LINDEN ST,BKN042
30740044,S,40.6383434121,-74.0176219925,5 AV,62 ST,BKS074
