BASKETID,BASKETTYPE,latitude,longitude,STREETNAME1,STREETNAME2,SECTION
31010069,H,40.6336085423,-74.020790254,5 AV,BAY RIDGE AV,BKS101
31040015,S,40.6177703372,-74.0097671346,13 AV,79 ST,BKS104
31530053,R,40.5877332171,-73.9548239287,AV Z,E 14 ST,BKS153
30520033,S,40.682917479,-73.8752582474,FULTON ST,CHESTNUT ST,BKN052
31860018,S,40.6221362395,-73.9361192607,FLATBUSH AV,LOTT PL,BKS186
31520090,R,40.6024900151,-73.9424929696,NOSTRAND AV,AV T,BKS152
30210291,S,40.6986642733,-73.9926130085,HENRY ST,ORANGE ST,BKN021
30110095,R,40.7293271054,-73.9541757889,MANHATTAN AV,MILTON ST,BKN011
31740082,S,40.6550790799,-73.9531552325,ROGERS AV,CLARKSON AV,BKN174
31520013,R,40.601689318,-73.9353854871,GERRITSEN AV,AV U,BKS152
30720084,S,40.6537172572,-74.0053050737,4 AV,37 ST,BKS072
30740066,S,40.6413764211,-74.0144343183,5 AV,57 ST,BKS074
30510081,R,40.6786281976,-73.8891630791,FULTON ST,BARBEY ST,BKN051
30410033,R,40.7044655043,-73.9286380469,KNICKERBOCKER AV,GEORGE ST,BKN041
31150053,S,40.6008351075,-73.9915754061,86 ST,23 AV,BKS115
31320181,S,40.5805067273,-73.9657500714,NEPTUNE AV,BRIGHTON 3 ST,BKS132
31160012,S,40.604364828,-73.9752644038,KINGS HWY,KINGS PL,BKS116
30150045,S,40.7085997487,-73.9436306304,GRAHAM AV,SCHOLES ST,BKN015
31430023,S,40.6133613143,-73.9538595148,OCEAN AV,AV O,BKS143
30810195,D,40.6736143226,-73.9688404118,Street Name TBD,PLAZA ST E,BKN081
31150032,S,40.598552456,-73.9970376496,BAY PKWY,BATH AV,BKS115
30220063,S,40.6855025879,-73.9828670642,PACIFIC ST,NEVINS ST,BKN022
31320044,S,40.5749283079,-73.9987083095,MERMAID AV,W 32 ST,BKS132
30510015,S,40.6800567591,-73.8838742634,FULTON ST,LINWOOD ST,BKN051
30410088,S,40.6972177984,-73.9352723227,BROADWAY,JEFFERSON ST,BKN041
31250022,S,40.644889659,-73.9748260926,CHURCH AV,OCEAN PKWY,BKS125
31230049,S,40.6415604214,-73.9926215751,FT HAMILTON PKWY,42 ST,BKS123
31010024,H,40.6357952304,-74.0202199855,67 ST,5 AV,BKS101
30820055,R,40.6757447147,-73.9469588091,BERGEN ST,NEW YORK AV,BKN082
30920008,S,40.6638850271,-73.9540617454,EMPIRE BLVD,ROGERS AV,BKN092
30330142,H,40.6803054375,-73.9457616553,Street Name TBD,,BKN033
31740087,R,40.6504981292,-73.9493990269,CHURCH AV,NOSTRAND AV,BKN174
30220122,H,40.6868358968,-73.9850805955,ATLANTIC AV,BOND ST,BKN022
30130087,D,40.7144715361,-73.9518245967,Street Name TBD,,BKN013
31010057,S,40.636339643,-74.0230516544,4 AV,SENATOR ST,BKS101
30630004,R,40.6748991899,-73.9749190254,7 AV,BERKELEY PL,BKS063
30910008,H,40.6650638554,-73.9423574269,MONTGOMERY ST,KINGSTON AV,BKN091
30920046,R,40.66324843,-73.9511383413,NOSTRAND AV,STERLING ST,BKN092
31750005,S,40.6421407443,-73.9262225935,AV D,E 53 ST,BKN175
30410058,R,40.7063592434,-73.9228541859,WYCKOFF AV,TROUTMAN ST,BKN041
31320128,H,40.5749467322,-73.9730875612,SURF AV,W 5 ST,BKS132
30210114,H,40.6920290707,-73.9854112944,WILLOUGHBY ST,BRIDGE ST,BKN021
30520043,S,40.6845676925,-73.8694111948,FULTON ST,LINCOLN AV,BKN052
31260059,D,40.6147931893,-73.9685002918,AV N,OCEAN PKWY,BKS126
31410138,D,40.6542555648,-73.9642761346,Street Name TBD,,BKS141
30330089,R,40.6919017831,-73.9454384982,DEKALB AVENUE,TOMPKINS AV,BKN033
31250011,S,40.6441963687,-73.9755215203,CHURCH AV,E 5 ST,BKS125
30920060,S,40.6615452188,-73.953436145,ROGERS AV,LINCOLN RD,BKN092
30630072,R,40.6782856602,-73.9827993418,4 AV,SACKETT ST,BKS063
30420062,R,40.6890783543,-73.9210128873,BROADWAY,PALMETTO ST,BKN042
30510086,S,40.6717394956,-73.8956383862,PENNSYLVANIA AV,PITKIN AV,BKN051
30210045,H,40.6923795194,-73.989234722,ADAMS ST,JORALEMON ST,BKN021
30740020,S,40.6426646334,-74.0125858346,5 AV,54 ST,BKS074
31110042,S,40.6213960942,-73.9880963605,18 AV,61 ST,BKS111
30430088,S,40.6898800834,-73.9144572756,EVERGREEN AV,JEFFERSON AV,BKN043
31140018,S,40.6061857682,-74.0012263989,86 ST,BAY 20 ST,BKS114
30220045,S,40.6839907267,-73.9818097381,3 AV,DEAN ST,BKN022
30820143,R,40.6735194175,-73.9503566624,NOSTRAND AV,PARK PL,BKN082
30630009,R,40.6756654699,-73.9748177604,7 AV,LINCOLN PL,BKS063
30310042,R,40.6962001359,-73.9433529958,THROOP AV,MYRTLE AV,BKN031
31230051,R,40.639686697,-73.9874854786,13 AVE,41 ST,BKS123
31620189,D,40.6634922824,-73.9122657097,THOMAS S BOYLAND ST,DUMONT AV,BKN162
30510010,R,40.6805863257,-73.8830569587,FULTON ST,ESSEX ST,BKN051
31510072,S,40.5982130271,-73.9629399564,AV U,E 8 ST,BKS151
30150005,S,40.7029010231,-73.9422535453,GRAHAM AV,VARET ST,BKN015
30110100,R,40.7279130331,-73.9534691344,MANHATTAN AV,CALYER ST,BKN011
30740010,S,40.6400077878,-74.0052102709,8 AV,52 ST,BKS074
30810128,R,40.6752215027,-73.9707947148,FLATBUSH AV,PLAZA ST E,BKN081
30410017,R,40.7033979305,-73.9261556097,KNICKERBOCKER AV,TROUTMAN ST,BKN041
30240005,S,40.6917405215,-73.9703784646,CLERMONT AV,WILLOUGHBY AV,BKN024
31030142,D,40.6197187614,-74.0401668077,Street Name TBD,,BKS103
31440075,S,40.6186778932,-73.9552895874,OCEAN AV,AV M,BKS144
31010015,H,40.6341084109,-74.0209178416,5 AV,68 ST,BKS101
31320234,R,40.5760708924,-73.987718719,MERMAID AV,W 21 ST,BKS132
30320137,R,40.683122651,-73.9502963767,NOSTRAND AV,JEFFERSON AV,BKN032
31620017,R,40.6694134431,-73.91141347,PITKIN AV,CHESTER ST,BKN162
30420017,R,40.6938086668,-73.9133340342,WILSON AV,PUTNAM AV,BKN042
31860024,D,40.6130107766,-73.9440085628,AV P,MADISON PL,BKS186
30620078,R,40.6838063577,-73.9949678453,COURT ST,DE GRAW ST,BKS062
31320236,R,40.5776513556,-73.9603682177,BRIGHTON BEACH AV,BRIGHTON 7 ST,BKS132
30410046,R,40.7006435117,-73.9414556418,BROADWAY,FLUSHING AV,BKN041
30510133,R,40.6745522331,-73.8967964382,PENNSYLVANIA AV,LIBERTY AV,BKN051
30820094,S,40.671508175,-73.9449287234,ST JOHNS PLACE,BROOKLYN AV,BKN082
30350032,R,40.6894031339,-73.9238918526,GATES AV,RALPH AV,BKN035
30740039,S,40.6392431152,-74.0161159917,60 ST,5 AV,BKS074
30120133,S,40.7084110256,-73.9575474474,BROADWAY,MARCY AV,BKN012
30620040,S,40.686685798,-73.9939891008,COURT ST,WARREN ST,BKS062
31120024,S,40.6150270627,-73.99452487,18 AV,72 ST,BKS112
30910139,D,40.6686752847,-73.931444434,UTICA AV,EASTERN PKWY,BKN091
30810140,S,40.6807592801,-73.9713563083,CARLTON AV,DEAN ST,BKN081
31550048,D,40.5934852591,-73.9648389166,AV W,OCEAN PKWY,BKS155
30120010,R,40.7203096255,-73.9614155531,KENT AV,N 7 ST,BKN012
31220031,H,40.6391717333,-73.9987407096,10 AV,49 ST,BKS122
31010093,S,40.6343652801,-74.023334086,4 AV,BAY RIDGE AV,BKS101
31520047,S,40.5996867756,-73.9501970642,AV U,E 21 ST,BKS152
31130023,S,40.604795059,-73.9982712203,86 ST,20 AV,BKS113
31310033,S,40.5937416906,-73.9800493582,86 ST,W 9 ST,BKS131
31160025,S,40.6049775398,-73.9799222055,KINGS HWY,W 7 ST,BKS116
31740038,S,40.6469687673,-73.9493186829,NOSTRAND AV,TILDEN AV,BKN174
31620040,H,40.6687821112,-73.9155566339,PITKIN AV,HERZL ST,BKN162
30120116,S,40.7111191491,-73.9509165124,GRAND ST,UNION AV,BKN012
30910093,R,40.6695048394,-73.9510452832,Street Name TBD,,BKN091
31420034,S,40.6416819018,-73.9638510658,CORTELYOU RD,E 16 ST,BKS142
31610132,H,40.6619881078,-73.9114861039,THOMAS S BOYLAND ST,LIVONIA AV,BKN161
31510058,H,40.6044733149,-73.9709007489,KINGS HWY,E 2 ST,BKS151
30210182,S,40.6987472916,-73.9952871196,WILLOW ST,PINEAPPLE ST,BKN021
30620012,R,40.6829672659,-73.9958220084,COURT ST,SACKETT ST,BKS062
30830186,D,40.6684673757,-73.9229334366,EASTERN PKWY,RALPH AV,BKN083
30810032,S,40.6776227998,-73.9635388068,WASHINGTON AV,ST MARKS AVENUE,BKN081
30220150,H,40.6919567366,-73.9892817146,BOERUM PL,JORALEMON ST,BKN022
30810163,C,40.6804502682,-73.9751470295,FLATBUSH AV,BERGEN ST,BKN081
30220030,S,40.6842828487,-73.9786235984,ATLANTIC AV,4 AV,BKN022
30520013,S,40.683503223,-73.8730829823,FULTON ST,PINE ST,BKN052
30520066,S,40.6818467646,-73.879046008,FULTON ST,NORWOOD AV,BKN052
31130010,S,40.609365091,-74.0003315481,Street Name TBD,,BKS113
31010101,D,40.6391482405,-74.0372107884,,,BKS101
31720049,S,40.6515453403,-73.9373380907,CHURCH AV,E 43 ST,BKN172
30230156,S,40.6867227175,-73.9666854659,GREENE AV,WAVERLY AV,BKN023
31410037,S,40.6531043525,-73.9591443776,FLATBUSH AV,CATON AV,BKS141
30830058,S,40.6710715952,-73.9254561416,BUFFALO AV,STERLING PL,BKN083
30240188,S,40.6882236432,-73.9669921939,LAFAYETTE AV,WAVERLY AV,BKN024
30720026,S,40.6643747477,-73.9935027132,4 AV,18 ST,BKS072
30640046,S,40.6757007539,-73.9811466112,5 AV,PRESIDENT ST,BKS064
30810117,R,40.6731979339,-73.9675489569,EASTERN PKWY,UNDERHILL AV,BKN081
30520024,H,40.683260683,-73.8739376004,FULTON ST,EUCLID AV,BKN052
31830007,S,40.6371274108,-73.8973397356,AV L,E 94 ST,BKS183
30120023,C,40.7191880053,-73.9631442438,KENT AV,N 5 ST,BKN012
30140033,C,40.7103103877,-73.9653526087,BROADWAY,BERRY ST,BKN014
31250059,S,40.6381119603,-73.9756162058,CORTELYOU RD,E 4 ST,BKS125
30210023,H,40.6915923186,-73.9855141228,Street Name TBD,,BKN021
31430030,H,40.6338620859,-73.9479356791,NOSTRAND AV,GLENWOOD RD,BKS143
31550034,S,40.5978646457,-73.9639395811,AV U,E 7 ST,BKS155
30320059,R,40.6816393763,-73.9495969622,NOSTRAND AV,HALSEY ST,BKN032
30910060,S,40.6669819905,-73.9505254407,NOSTRAND AV,CARROLL ST,BKN091
30110051,R,40.7241021226,-73.9511981412,MANHATTAN AV,BEDFORD AV,BKN011
30730009,S,40.6443600978,-74.0108610371,5 AV,51 ST,BKS073
31210056,S,40.6282764637,-73.9885893732,16 AV,54 ST,BKS121
31810022,R,40.6468182166,-73.9040042061,ROCKAWAY PKWY,FARRAGUT RD,BKS181
30720132,S,40.6444415204,-73.9999199701,8 AV,44 ST,BKS072
30810134,R,40.6816044347,-73.9739333725,6 AV,DEAN ST,BKN081
31510017,S,40.6063548372,-73.9644196547,KINGS HWY,E 8 ST,BKS151
30510057,S,40.6769099317,-73.8982999602,FULTON ST,SHEFFIELD AV,BKN051
30410012,H,40.7037948952,-73.9188106868,WYCKOFF AV,STOCKHOLM ST,BKN041
30910019,H,40.6702958951,-73.9577826224,FRANKLIN AV,EASTERN PKWY,BKN091
31030033,S,40.6187968633,-74.0331338427,3 AV,93 ST,BKS103
31820001,R,40.6433730367,-73.9014687705,FLATLANDS AV,E 96 ST,BKS182
31020028,S,40.6244810346,-74.0308244477,3 AV,85 ST,BKS102
31720021,S,40.6509790565,-73.9439595036,CHURCH AV,BROOKLYN AV,BKN172
31010111,D,40.6353191241,-74.0181193087,Street Name TBD,,BKS101
30220138,H,40.6875830495,-73.9869810387,ATLANTIC AV,HOYT ST,BKN022
31530064,R,40.587369329,-73.9534698644,SHEEPSHEAD BAY RD,E 16 ST,BKS153
31210059,S,40.6330840839,-74.005342444,FT HAMILTON PKWY,60 ST,BKS121
30420047,R,40.6906101719,-73.9236872338,BROADWAY,GROVE ST,BKN042
31620018,S,40.6803709861,-73.9110912038,ROCKAWAY AV,MAC DOUGAL ST,BKN162
31160001,S,40.5962156773,-73.9814442301,AV U,W 10 ST,BKS116
31720042,S,40.6516645182,-73.9351016657,CHURCH AV,E 45 ST,BKN172
30410100,R,40.6958184477,-73.932830471,BROADWAY,WILLOUGHBY AV,BKN041
30320156,C,40.680430281,-73.9478809974,FULTON ST,VERONA PL,BKN032
31750037,S,40.6420899906,-73.9324364321,AV D,SCHENECTADY AVE,BKN175
30320153,C,40.6805320926,-73.9497646798,FULTON ST,NOSTRAND AV,BKN032
31740059,R,40.6517678049,-73.9498472206,NOSTRAND AV,MARTENSE ST,BKN174
31530041,S,40.5785494653,-73.9380957942,ORIENTAL BLVD,OXFORD ST,BKS153
30220072,S,40.6835935103,-73.9820757515,3 AV,BERGEN ST,BKN022
31620084,H,40.6682665289,-73.9189483718,PITKIN AV,GRAFTON ST,BKN162
30120025,C,40.7186217685,-73.9637605899,KENT AV,N 4 PL,BKN012
30350055,S,40.6830788552,-73.9177973644,Street Name TBD,,BKN035
31620192,D,40.6631628258,-73.9147315961,DUMONT AV,STRAUSS ST,BKN162
30210079,H,40.6932331773,-73.9948766104,JORALEMON ST,HENRY ST,BKN021
31310013,S,40.5882018905,-73.9838690395,STILLWELL AV,BAY 50 ST,BKS131
31540046,D,40.5893471531,-73.9403092319,Street Name TBD,,BKS154
30910123,D,40.6664354595,-73.9643251011,Street Name TBD,,BKN091
31030055,S,40.6228201118,-74.0311013548,3 AV,87 ST,BKS103
31440074,S,40.6259184205,-73.9567362446,OCEAN AV,AV J,BKS144
30510163,D,40.6834621657,-73.8867075137,Street Name TBD,,BKN051
31120039,D,40.6192444035,-73.9982901564,16 AV,70 ST,BKS112
30330086,R,40.6813978424,-73.9349153536,LEWIS AV,DECATUR ST,BKN033
30820163,S,40.6697358285,-73.9423273182,KINGSTON AV,EASTERN PKWY,BKN082
31150046,S,40.603664932,-73.9917814659,BAY PKWY,83 ST,BKS115
30420161,R,40.6987742662,-73.9174310683,MYRTLE AV,BLEECKER ST,BKN042
31810030,R,40.6420361182,-73.8990658469,,ROCKAWAY PKWY,BKS181
30220017,H,40.6896778699,-73.9882111693,SMITH ST,SCHERMERHORN ST,BKN022
30820133,R,40.6710002323,-73.9418155186,ST JOHNS PLACE,KINGSTON AV,BKN082
30210151,S,40.7017455104,-73.9898169744,WASHINGTON ST,YORK ST,BKN021
30410147,R,40.6994671131,-73.9272977883,CENTRAL AV,WILLOUGHBY AV,BKN041
31840028,H,40.614041596,-73.9165952341,AV U,E 59 ST,BKS184
31230056,S,40.6359495481,-73.9873398272,14 AV,45 ST,BKS123
31620012,S,40.6670202579,-73.9098809956,SUTTER AV,ROCKAWAY AV,BKN162
31750015,R,40.6401241413,-73.9486194636,NOSTRAND AV,NEWKIRK AV,BKN175
31710069,S,40.6561701647,-73.9149465752,ROCKAWAY PKWY,CHURCH AV,BKN171
31420017,S,40.6403071162,-73.9659882805,CORTELYOU RD,ARGYLE RD,BKS142
31870042,R,40.6148541082,-73.9367639027,QUENTIN RD,E 36 ST,BKS187
30220117,S,40.6867634366,-73.9902315741,SMITH ST,BERGEN ST,BKN022
30230142,S,40.6846655327,-73.9649255348,WASHINGTON AV,GATES AV,BKN023
31440046,S,40.625410189,-73.9606815338,AV J,E 16 ST,BKS144
30730045,S,40.645366918,-74.0140708293,4 AV,52 ST,BKS073
31610106,S,40.6608442605,-73.9082846816,ROCKAWAY AV,RIVERDALE AV,BKN161
30510157,R,40.6729840763,-73.8893027492,PITKIN AV,HENDRIX ST,BKN051
30110076,S,40.7350238822,-73.9548087386,MANHATTAN AV,EAGLE ST,BKN011
31610064,S,40.6690358143,-73.9161609943,PITKIN AV,STRAUSS ST,BKN161
30220073,S,40.6834688358,-73.9817252103,3 AV,BERGEN ST,BKN022
30420126,S,40.692960137,-73.9278299848,BROADWAY,KOSSUTH PL,BKN042
31850036,D,40.636661802,-73.9203526025,Street Name TBD,,BKS185
31160087,S,40.5964551701,-73.9762646873,AV U,W 5 ST,BKS116
30220068,S,40.6876362714,-73.9931556017,BERGEN ST,COURT ST,BKN022
31030095,S,40.6233744111,-74.0315562019,86 ST,3 AV,BKS103
30240178,S,40.6965084586,-73.9775106495,PARK AVE,N ELLIOTT PL,BKN024
30220131,H,40.6880809251,-73.9841765103,SCHERMERHORN ST,BOND ST,BKN022
31250014,S,40.643466652,-73.9772682496,CHURCH AV,E 3 ST,BKS125
30230130,C,40.6836413542,-73.9760935028,ATLANTIC AV,FT GREENE PL,BKN023
30730060,S,40.6431440255,-74.001321059,8 AV,46 ST,BKS073
30130029,S,40.7144776004,-73.946270518,METROPOLITAN AV,MANHATTAN AVE,BKN013
31120003,S,40.6117360723,-73.9838495523,BAY PKWY,BAY RIDGE AV,BKS112
31140010,S,40.6038386861,-74.0064201162,18 AV,BATH AV,BKS114
30810196,D,40.6733640214,-73.968912494,Street Name TBD,PLAZA ST E,BKN081
30230072,S,40.6851397489,-73.9763764792,FT GREENE PL,HANSON PL,BKN023
31520053,S,40.6103722404,-73.9537441824,OCEAN AV,KINGS HWY,BKS152
31510132,D,40.6026300869,-73.9665648743,AV S,OCEAN PKWY,BKS151
31160098,D,40.6007331298,-73.9728667899,Street Name TBD,,BKS116
30920077,S,40.664253197,-73.9479913447,EMPIRE BLVD,NEW YORK AV,BKN092
30320128,R,40.6807854781,-73.9509896635,ARLINGTON PL,MACON ST,BKN032
30740029,S,40.6411733456,-74.0146658622,5 AV,57 ST,BKS074
30240147,S,40.6935042245,-73.9756585862,MYRTLE AV,N PORTLAND AV,BKN024
31410094,S,40.6438352498,-73.957698917,FLATBUSH AV,CORTELYOU RD,BKS141
30510014,R,40.6773406386,-73.8954201635,FULTON ST,VERMONT ST,BKN051
30310001,R,40.694324586,-73.9401008029,MARCUS GARVEY BLVD,HART ST,BKN031
30810013,S,40.6791697193,-73.9681082205,VANDERBILT AV,BERGEN ST,BKN081
31620045,S,40.6786445869,-73.9110486747,ROCKAWAY AV,SOMERS ST,BKN162
30720099,S,40.6547632325,-74.0047815754,Street Name TBD,,BKS072
31320322,R,40.5766991675,-73.985673674,MERMAID AV,W 19 ST,BKS132
30220029,H,40.6906782041,-73.9879673418,LIVINGSTON ST,SMITH ST,BKN022
30630068,S,40.681875904,-73.9797008212,4 AV,ST MARKS PLACE,BKS063
31720025,S,40.6508518786,-73.945548205,CHURCH AV,E 34 ST,BKN172
30420171,R,40.6993474399,-73.9110267221,WYCKOFF AV,PALMETTO ST,BKN042
31040044,S,40.6209144607,-74.0065074922,13 AV,74 ST,BKS104
30510116,S,40.6753950509,-73.8912446059,LIBERTY AV,VAN SICLEN AV,BKN051
30140065,S,40.7041556924,-73.9481645318,BROADWAY,LORIMER ST,BKN014
30810220,D,40.6730365416,-73.970014047,GRAND ARMY PLZ,GRAND ARMY PLZ,BKN081
30650006,S,40.6644539394,-73.9838280003,7 AV,13 ST,BKS065
30430111,S,40.685967129,-73.9116481531,BUSHWICK AV,SCHAEFER ST,BKN043
30310072,R,40.6910133345,-73.9555667761,BEDFORD AV,DEKALB AVENUE,BKN031
30420150,R,40.6939773277,-73.923708405,GREENE AV,EVERGREEN AV,BKN042
31720040,S,40.6517010803,-73.9344429997,CHURCH AV,E 46 ST,BKN172
31610006,S,40.6755668549,-73.9139363488,THOMAS S BOYLAND ST,PACIFIC ST,BKN161
30240190,S,40.687981181,-73.9690205772,VANDERBILT AV,LAFAYETTE AV,BKN024
30430102,S,40.6936409898,-73.9095866229,KNICKERBOCKER AV,HANCOCK ST,BKN043
31020066,S,40.6283836382,-74.0288295335,3 AV,79 ST,BKS102
30210247,C,40.6919830513,-73.9883720313,FULTON ST,PEARL ST,BKN021
31410031,S,40.6494870063,-73.9633316109,CHURCH AV,E 18 ST,BKS141
30340063,R,40.6849971003,-73.9296803927,MALCOLM X BLVD,HANCOCK ST,BKN034
30820019,S,40.6729801801,-73.939305259,ALBANY AV,PARK PL,BKN082
30610069,S,40.6797464335,-73.9954812965,SMITH ST,1 PL,BKS061
30740091,S,40.6381326138,-74.0173103714,5 AV,62 ST,BKS074
30220226,H,40.6927083024,-73.9929944178,CLINTON ST,JORALEMON ST,BKN022
31540032,R,40.5940991087,-73.9267791374,GERRITSEN AV,DEVON AV,BKS154
30610076,S,40.6783881769,-74.0113468803,VAN BRUNT ST,KING ST,BKS061
30920006,S,40.6632127287,-73.9397472512,LEFFERTS AV,ALBANY AV,BKN092
31740007,S,40.6506851084,-73.9484184927,CHURCH AV,E 31 ST,BKN174
30720005,S,40.6498246989,-74.0056829634,5 AV,42 ST,BKS072
31540030,H,40.5892260589,-73.9207483137,GERRITSEN AV,SEBA AV,BKS154
31620161,H,40.6634676892,-73.9210153501,E 98 ST,UNION ST,BKN162
30210129,H,40.693767097,-73.9823532199,MYRTLE AV,PRINCE ST,BKN021
30910111,H,40.6697831065,-73.9555336973,BEDFORD AV,EASTERN PKWY,BKN091
31610160,D,40.6603370727,-73.9036347052,NEWPORT ST,CHRISTOPHER AV,BKN161
31020128,D,40.625961611,-74.0369699406,Street Name TBD,,BKS102
31620169,S,40.6695292969,-73.9108860067,PITKIN AV,ROCKAWAY AV,BKN162
30630098,S,40.6818321882,-73.9803790115,4 AV,ST MARKS PLACE,BKS063
31120019,R,40.610085207,-73.9855339691,BAY PKWY,72 ST,BKS112
31020113,R,40.6232766915,-74.0278869408,4 AV,85 ST,BKS102
30130025,C,40.7141927541,-73.949219757,METROPOLITAN AV,LORIMER ST,BKN013
30720130,S,40.6461938921,-73.998163945,8 AV,41 ST,BKS072
30330027,R,40.6903644729,-73.94548627,LAFAYETTE AV,TOMPKINS AV,BKN033
30820173,R,40.6764040264,-73.9524828106,ROGERS AV,BERGEN ST,BKN082
31250076,D,40.643438275,-73.9739449782,OCEAN PKWY,BEVERLEY ROAD,BKS125
30320160,H,40.6801384189,-73.9473806194,FULTON ST,VERONA PL/NEW YORK AV,BKN032
30810147,R,40.6741032562,-73.9604656751,CLASSON AV,STERLING PL,BKN081
31710047,S,40.6611392483,-73.9289767921,REMSEN AV,RUTLAND RD,BKN171
31430007,S,40.6361527366,-73.9514920172,FLATBUSH AV,FARRAGUT RD,BKS143
31730104,S,40.6569461565,-73.9282055809,E 53 ST,CLARKSON AV,BKN173
31850006,H,40.6193519315,-73.9174473542,RALPH AV,AV N,BKS185
30610031,S,40.6780930628,-74.0122951601,VAN BRUNT ST,SULLIVAN ST,BKS061
30640136,D,40.672241837,-73.9692467783,FLATBUSH AV,GRAND ARMY PLZ,BKS064
30640108,R,40.6729684944,-73.9762107848,7 AV,CARROLL ST,BKS064
30220210,C,40.6912235778,-73.9872116436,SMITH ST,FULTON ST,BKN022
31010008,H,40.6310357507,-74.0217821763,5 AV,73 ST,BKS101
30230051,S,40.6859569259,-73.9712426447,GREENE AV,CARLTON AV,BKN023
31150069,D,40.5979939658,-74.0000517682,Street Name TBD,,BKS115
31320062,S,40.5755301111,-73.9767915841,SURF AV,W 8 ST,BKS132
30730065,H,40.6456674183,-74.0130540626,4 AV,51 ST,BKS073
30130001,R,40.7237831441,-73.9500285261,NASSAU AV,LEONARD ST,BKN013
31130029,S,40.6083195166,-74.0040721734,86 ST,BAY 16 ST,BKS113
30320129,H,40.6829782185,-73.9540602133,BEDFORD AV,JEFFERSON AV,BKN032
30620064,R,40.6814675468,-73.9937998549,SMITH ST,UNION ST,BKS062
31210071,S,40.635797452,-74.001218081,FT HAMILTON PKWY,54 ST,BKS121
31550019,H,40.597258318,-73.9688166118,AV U,E 3 ST,BKS155
31850012,R,40.6193915931,-73.9223053229,AV N,E 55 ST,BKS185
30730025,S,40.6473199922,-74.0082235817,5 AV,46 ST,BKS073
31410026,H,40.6503724848,-73.9598284019,CHURCH AV,E 21 ST,BKS141
30910017,S,40.6670345698,-73.950954495,NOSTRAND AV,CARROLL ST,BKN091
30530031,S,40.6733252488,-73.8693089922,SUTTER AV,CRESCENT ST,BKN053
31850018,R,40.6192287187,-73.9251806499,AV N,E 52 ST,BKS185
30230151,R,40.6869799443,-73.975843686,FULTON ST,LAFAYETTE AV,BKN023
31740097,S,40.6514185291,-73.9523524544,ROGERS AV,MARTENSE ST,BKN174
31320125,R,40.5781120973,-73.9565244143,BRIGHTON BEACH AV,BRIGHTON 13 ST,BKS132
31250015,S,40.6434353873,-73.9782098829,CHURCH AV,E 2 ST,BKS125
31110003,S,40.6193367404,-73.9902102969,65 ST,18 AV,BKS111
30720089,S,40.6450251668,-73.9999400627,8 AV,43 ST,BKS072
31520087,S,40.6096424151,-73.9438705369,NOSTRAND AV,QUENTIN RD,BKS152
30640095,S,40.6723746124,-73.9873150302,4 AV,6 ST,BKS064
31620176,S,40.6765631268,-73.9111003266,ATLANTIC AV,ROCKAWAY AV,BKN162
30230056,R,40.6831976705,-73.964969694,FULTON ST,WASHINGTON AV,BKN023
30830001,H,40.6728009361,-73.9361068572,TROY AV,PARK PL,BKN083
31520025,S,40.6007494092,-73.937280403,AV U,COYLE ST,BKS152
30240082,S,40.6877274082,-73.9785126657,ASHLAND PL,FULTON ST,BKN024
31420018,S,40.6406465405,-73.9660276379,CORTELYOU RD,ARGYLE RD,BKS142
31120028,S,40.6131538551,-73.9959196181,BAY RIDGE PKWY,18 AV,BKS112
30610059,R,40.6792826586,-73.9971350706,COURT ST,2 PL,BKS061
31540037,H,40.5929338737,-73.9255188255,GERRITSEN AV,EVERETT AV,BKS154
31740050,S,40.6503986894,-73.9549146243,CHURCH AV,WOODS PL,BKN174
30330184,R,40.6813133451,-73.9462271337,MARCY AV,MACON ST,BKN033
30410085,R,40.7035530037,-73.9220789876,IRVING AV,SUYDAM ST,BKN041
31610078,S,40.657349832,-73.9035292147,MOTHER GASTON BLVD,NEW LOTS AV,BKN161
30210299,H,40.6897312992,-73.9796940915,DEKALB AVENUE,ROCKWELL PL,BKN021
30120061,C,40.7144289039,-73.9615270215,GRAND ST,BEDFORD AV,BKN012
30230079,R,40.6833456857,-73.9669966667,FULTON ST,CLINTON AV,BKN023
30150037,S,40.7078956059,-73.9430894353,GRAHAM AV,MESEROLE ST,BKN015
31710026,S,40.658459091,-73.9239679613,CLARKSON AV,E 92 ST,BKN171
31020053,H,40.6233359996,-74.02494847,5 AV,83 ST,BKS102
30210080,H,40.6953835223,-73.9959577547,HICKS ST,MONTAGUE ST,BKN021
30820153,R,40.6760993395,-73.9525493789,ROGERS AV,BERGEN ST,BKN082
30640005,S,40.6696091367,-73.9728828422,PROSPECT PARK W,1 ST,BKS064
30150067,S,40.7068161467,-73.9466389544,LEONARD ST,MONTROSE AV,BKN015
31030044,S,40.6212705322,-74.0321335563,3 AV,89 ST,BKS103
31610004,S,40.6740959989,-73.9165197399,SARATOGA AV,BERGEN ST,BKN161
30320088,R,40.682678539,-73.9501860181,NOSTRAND AV,HANCOCK ST,BKN032
31030040,S,40.6203998849,-74.0321009105,3 AV,91 ST,BKS103
31310028,S,40.5925979675,-73.9846757363,STILLWELL AV,BAY 46 ST,BKS131
30630016,S,40.6762482371,-73.9720112174,FLATBUSH AV,STERLING PL,BKS063
30220166,H,40.6909405614,-73.9962865303,ATLANTIC AV,HENRY ST,BKN022
